Date,Transaction Type,No.,Name,Debit,Credit,transaction_id
2011-04-30,Cheque Expense,0,Australian Taxation Office,554.00,554.00,106
2011-04-30,Journal Entry,72,None,620.44,620.44,107
2011-05-06,Journal Entry,71,None,3.20,3.20,108
2011-05-14,Journal Entry,38,None,20000.00,20000.00,109
2011-05-24,Cheque Expense,0,ASIC,218.00,218.00,110
2011-05-30,Cheque Expense,0,Transfer Money,60000.00,60000.00,111
2011-05-30,Journal Entry,40,None,40000.00,40000.00,112
2011-05-31,Journal Entry,42,None,668.41,668.41,113
2011-06-08,Journal Entry,43,None,6.70,6.70,114
2011-06-28,Journal Entry,42,None,180000.00,180000.00,115
2011-06-30,Journal Entry,41,None,15036.20,15036.20,116
2011-06-30,Journal Entry,44,None,872.31,872.31,117
2011-07-01,Cheque Expense,0,Transfer Money,75000.00,75000.00,118
2011-07-03,Cheque Expense,0,Transfer Money,257254.31,257254.31,119
2011-07-08,Journal Entry,45,None,38.99,38.99,120
2011-07-14,Journal Entry,46,None,10195.75,10195.75,121
2011-07-29,Cheque Expense,0,Payment on behalf of GA/JF McLaren,2892.65,2892.65,122
2011-07-31,Journal Entry,48,None,586.60,586.60,123
2011-08-08,Journal Entry,47,None,32007.97,32007.97,124
2011-08-08,Journal Entry,48,None,2.83,2.83,125
2011-08-09,Cheque Expense,0,Transfer Money,35000.00,35000.00,126
2011-08-10,Cheque Expense,0,Transfer Money,10000.00,10000.00,127
2011-08-16,Journal Entry,50,None,17800.00,17800.00,128
2011-08-31,Journal Entry,49,None,699.36,699.36,129
2011-09-08,Cheque Expense,0,ANZ Bank,2.50,2.50,130
2011-09-08,Journal Entry,49,None,0.39,0.39,131
2011-09-09,Journal Entry,52,None,114.55,114.55,132
2011-09-25,Cheque Expense,0,Australian Taxation Office,4769.00,4769.00,133
2011-09-25,Journal Entry,51,None,5000.00,5000.00,134
2011-09-30,Journal Entry,50,None,716.80,716.80,135
2011-10-03,Journal Entry,54,None,30000.00,30000.00,136
2011-10-07,Cheque Expense,0,ANZ Bank,2.50,2.50,137
2011-10-07,Journal Entry,53,None,113.68,113.68,138
2011-10-07,Journal Entry,56,None,0.84,0.84,139
2011-10-18,Cheque Expense,0,Payment on behalf of GA/JF McLaren,15824.80,15824.80,140
2011-10-20,Journal Entry,55,None,50000.00,50000.00,141
2011-10-23,Journal Entry,47,None,60000.00,60000.00,142
2011-10-28,Cheque Expense,0,Australian Taxation Office,643.00,643.00,143
2011-10-30,Journal Entry,47,None,220.20,220.20,144
2011-10-31,Journal Entry,53,None,538.25,538.25,145
2011-11-01,Cheque Expense,0,Transfer Money,15000.00,15000.00,146
2011-11-08,Cheque Expense,0,ANZ Bank,2.50,2.50,147
2011-11-08,Journal Entry,46,None,8.02,8.02,148
2011-11-09,Journal Entry,45,None,98.94,98.94,149
2011-11-14,Journal Entry,56,None,13000.00,13000.00,150
2011-11-17,Journal Entry,57,None,20000.00,20000.00,151
2011-11-28,Cheque Expense,0,Transfer Money,10000.00,10000.00,152
2011-11-30,Journal Entry,54,None,380.08,380.08,153
2011-12-05,Cheque Expense,0,Transfer Money,21000.00,21000.00,154
2011-12-06,Cheque Expense,0,ANZ Bank,2.50,2.50,155
2011-12-06,Journal Entry,52,None,0.32,0.32,156
2011-12-12,Cheque Expense,0,Transfer Money,40000.00,40000.00,157
2011-12-31,Journal Entry,55,None,279.95,279.95,158
2012-01-06,Cheque Expense,0,ANZ Bank,2.50,2.50,159
2012-01-06,Journal Entry,51,None,0.31,0.31,160
2012-01-09,Journal Entry,58,None,102.43,102.43,161
2012-01-09,Journal Entry,59,None,36.90,36.90,162
2012-01-31,Journal Entry,64,None,215.31,215.31,163
2012-02-08,Cheque Expense,0,ANZ Bank,2.50,2.50,164
2012-02-08,Journal Entry,60,None,0.36,0.36,165
2012-02-09,Journal Entry,61,None,34.78,34.78,166
2012-02-16,Journal Entry,67,None,14000.00,14000.00,167
2012-02-28,Cheque Expense,0,Australian Taxation Office,419.00,419.00,168
2012-02-29,Journal Entry,65,None,202.19,202.19,169
2012-03-08,Cheque Expense,0,ANZ Bank,2.50,2.50,170
2012-03-08,Journal Entry,62,None,0.30,0.30,171
2012-03-12,Journal Entry,63,None,568.44,568.44,172
2012-03-31,Journal Entry,66,None,216.91,216.91,173
2012-04-01,Journal Entry,68,None,66.31,66.31,174
2012-04-05,Cheque Expense,0,ANZ Bank,2.50,2.50,175
2012-04-05,Journal Entry,69,None,71.91,71.91,176
2012-04-05,Journal Entry,71,None,0.27,0.27,177
2012-04-16,Journal Entry,70,None,9000.00,9000.00,178
2012-04-30,Cheque Expense,1,Australian Taxation Office,408.00,408.00,179
2012-04-30,Journal Entry,56,None,210.71,210.71,180
2012-05-02,Cheque Expense,0,Transfer Money,30000.00,30000.00,181
2012-05-07,Journal Entry,50,None,15500.00,15500.00,182
2012-05-08,Cheque Expense,0,ANZ Bank,2.50,2.50,183
2012-05-08,Journal Entry,52,None,0.31,0.31,184
2012-05-09,Journal Entry,51,None,91.73,91.73,185
2012-05-15,Journal Entry,49,None,9000.00,9000.00,186
2012-05-16,Journal Entry,50,None,15000.00,15000.00,187
2012-05-17,Journal Entry,51,None,10500.00,10500.00,188
2012-05-22,Cheque Expense,0,Transfer Money,20000.00,20000.00,189
2012-05-22,Cheque Expense,1,Transfer Money,40000.00,40000.00,190
2012-05-24,Cheque Expense,0,Transfer Money,1000.00,1000.00,191
2012-05-31,Journal Entry,57,None,152.77,152.77,192
2012-06-06,Cheque Expense,0,Transfer Money,8500.00,8500.00,193
2012-06-08,Cheque Expense,0,ANZ Bank,2.50,2.50,194
2012-06-08,Journal Entry,53,None,0.26,0.26,195
2012-06-08,Journal Entry,55,None,96.39,96.39,196
2012-06-23,Cheque Expense,0,ASIC,226.50,226.50,197
2012-06-25,Journal Entry,54,None,18700.00,18700.00,198
2012-06-30,Journal Entry,49,None,11598.37,11598.37,199
2012-06-30,Journal Entry,52,None,300000.00,300000.00,200
2012-06-30,Journal Entry,53,None,151831.85,151831.85,201
2012-06-30,Journal Entry,58,None,56.75,56.75,202
2012-07-03,Cheque Expense,0,Transfer Money,308000.00,308000.00,203
2012-07-05,Cheque Expense,0,ASIC,69.00,69.00,204
2012-07-06,Cheque Expense,0,ANZ Bank,2.50,2.50,205
2012-07-06,Journal Entry,59,None,0.23,0.23,206
2012-07-09,Journal Entry,60,None,169.30,169.30,207
2012-07-13,Journal Entry,61,None,27000.00,27000.00,208
2012-07-23,Cheque Expense,0,Transfer Money,10000.00,10000.00,209
2012-07-27,Cheque Expense,0,Australian Taxation Office,3602.00,3602.00,210
2012-07-27,Journal Entry,62,None,3000.00,3000.00,211
2012-07-31,Journal Entry,72,None,55.39,55.39,212
2012-08-08,Cheque Expense,0,ANZ Bank,2.50,2.50,213
2012-08-08,Journal Entry,67,None,0.23,0.23,214
2012-08-09,Journal Entry,63,None,142.51,142.51,215
2012-08-17,Journal Entry,64,None,15000.00,15000.00,216
2012-08-31,Journal Entry,65,None,35000.00,35000.00,217
2012-08-31,Journal Entry,73,None,55.56,55.56,218
2012-09-07,Cheque Expense,0,ANZ Bank,2.50,2.50,219
2012-09-07,Journal Entry,66,None,176.27,176.27,220
2012-09-07,Journal Entry,68,None,0.18,0.18,221
2012-09-17,Cheque Expense,0,Transfer Money,70000.00,70000.00,222
2012-09-17,Journal Entry,69,None,14000.00,14000.00,223
2012-09-24,Cheque Expense,0,Transfer Money,20000.00,20000.00,224
2012-09-24,Journal Entry,70,None,70000.00,70000.00,225
2012-09-30,Journal Entry,71,None,118.67,118.67,226
2012-10-01,Cheque Expense,0,Transfer Money,30000.00,30000.00,227
2012-10-07,Journal Entry,74,None,1353.76,1353.76,228
2012-10-08,Cheque Expense,0,ANZ Bank,2.50,2.50,229
2012-10-08,Cheque Expense,0,Transfer Money,30000.00,30000.00,230
2012-10-08,Journal Entry,76,None,4.10,4.10,231
2012-10-09,Journal Entry,75,None,140.56,140.56,232
2012-10-20,Journal Entry,54,None,18500.00,18500.00,233
2012-10-29,Cheque Expense,0,Australian Taxation Office,190.00,190.00,234
2012-10-31,Journal Entry,60,None,105.76,105.76,235
2012-11-08,Cheque Expense,0,ANZ Bank,2.50,2.50,236
2012-11-08,Journal Entry,58,None,0.18,0.18,237
2012-11-09,Journal Entry,59,None,89.93,89.93,238
2012-11-15,Journal Entry,55,None,21000.00,21000.00,239
2012-11-16,Journal Entry,56,None,7000.00,7000.00,240
2012-11-20,Journal Entry,57,None,9000.00,9000.00,241
2012-11-21,Journal Entry,57,None,20000.00,20000.00,242
2012-11-28,Cheque Expense,0,Transfer Money,10000.00,10000.00,243
2012-11-30,Journal Entry,63,None,79.76,79.76,244
2012-12-07,Cheque Expense,0,ANZ Bank,2.50,2.50,245
2012-12-07,Journal Entry,65,None,0.16,0.16,246
2012-12-07,Journal Entry,66,None,100.27,100.27,247
2012-12-17,Journal Entry,61,None,15000.00,15000.00,248
2012-12-18,Cheque Expense,0,Transfer Money,56242.74,56242.74,249
2012-12-18,Journal Entry,62,None,1242.74,1242.74,250
2012-12-31,Journal Entry,64,None,132.82,132.82,251
2013-01-02,Cheque Expense,0,Transfer Money,45000.00,45000.00,252
2013-01-03,Cheque Expense,0,Transfer Money,16500.00,16500.00,253
2013-01-03,Journal Entry,58,None,1000.00,1000.00,254
2013-01-03,Journal Entry,59,None,20000.00,20000.00,255
2013-01-03,Journal Entry,67,None,30000.00,30000.00,256
2013-01-04,Cheque Expense,0,Transfer Money,50000.00,50000.00,257
2013-01-08,Cheque Expense,0,ANZ Bank,2.50,2.50,258
2013-01-08,Journal Entry,73,None,0.18,0.18,259
2013-01-09,Journal Entry,63,None,63.26,63.26,260
2013-01-15,Journal Entry,58,None,5500.00,5500.00,261
2013-01-20,Journal Entry,59,None,5000.00,5000.00,262
2013-01-22,Cheque Expense,0,Australian Taxation Office,962.00,962.00,263
2013-01-22,Journal Entry,60,None,1000.00,1000.00,264
2013-01-31,Journal Entry,70,None,21.78,21.78,265
2013-02-08,Cheque Expense,0,ANZ Bank,2.50,2.50,266
2013-02-08,Journal Entry,64,None,16.20,16.20,267
2013-02-15,Journal Entry,61,None,24000.00,24000.00,268
2013-02-28,Journal Entry,69,None,10.48,10.48,269
2013-03-08,Cheque Expense,0,ANZ Bank,2.50,2.50,270
2013-03-08,Journal Entry,65,None,58.49,58.49,271
2013-03-17,Journal Entry,62,None,4000.00,4000.00,272
2013-03-31,Journal Entry,68,None,11.63,11.63,273
2013-04-02,Cheque Expense,0,Transfer Money,30752.05,30752.05,274
2013-04-02,Journal Entry,66,None,752.05,752.05,275
2013-04-08,Cheque Expense,0,ANZ Bank,2.50,2.50,276
2013-04-08,Journal Entry,67,None,1828.99,1828.99,277
2013-04-09,Journal Entry,71,None,88.38,88.38,278
2013-04-18,Journal Entry,72,None,22000.00,22000.00,279
2013-04-24,Cheque Expense,0,Transfer Money,15000.00,15000.00,280
2013-04-26,Cheque Expense,0,Transfer Money,14000.00,14000.00,281
2013-04-28,Cheque Expense,0,Australian Taxation Office,51.00,51.00,282
2013-04-28,Cheque Expense,0,Transfer Money,100.00,100.00,283
2013-04-30,Journal Entry,75,None,90.69,90.69,284
2013-05-08,Cheque Expense,2,ANZ Bank,2.50,2.50,285
2013-05-08,Journal Entry,74,None,28500.00,28500.00,286
2013-05-09,Journal Entry,76,None,55000.00,55000.00,287
2013-05-09,Journal Entry,77,None,55000.00,55000.00,288
2013-05-09,Journal Entry,78,None,91.81,91.81,289
2013-05-15,Cheque Expense,0,Transfer Money,80000.00,80000.00,290
2013-05-23,Cheque Expense,0,ASIC,230.00,230.00,291
2013-05-31,Journal Entry,79,None,84.08,84.08,292
2013-06-08,Cheque Expense,3,ANZ Bank,2.50,2.50,293
2013-06-17,Journal Entry,62,None,12000.00,12000.00,294
2013-06-28,Journal Entry,60,None,270000.00,270000.00,295
2013-06-30,Journal Entry,61,None,141133.63,141133.63,296
2013-06-30,Journal Entry,62,None,80742.34,80742.34,297
2013-06-30,Journal Entry,80,None,25.03,25.03,298
2013-07-05,Cheque Expense,0,Transfer Money,275000.00,275000.00,299
2013-07-08,Cheque Expense,4,ANZ Bank,2.50,2.50,300
2013-07-09,Journal Entry,63,None,152.75,152.75,301
2013-07-22,Journal Entry,64,None,16700.00,16700.00,302
2013-07-31,Journal Entry,81,None,25.93,25.93,303
2013-08-04,Cheque Expense,0,Australian Taxation Office,1140.00,1140.00,304
2013-08-04,Journal Entry,65,None,1000.00,1000.00,305
2013-08-08,Cheque Expense,5,ANZ Bank,2.50,2.50,306
2013-08-09,Journal Entry,67,None,44.70,44.70,307
2013-08-12,Journal Entry,75,None,808.77,808.77,308
2013-08-13,Cheque Expense,0,Transfer Money,808.77,808.77,309
2013-08-20,Journal Entry,68,None,20000.00,20000.00,310
2013-08-31,Journal Entry,71,None,25.55,25.55,311
2013-09-08,Cheque Expense,6,ANZ Bank,2.50,2.50,312
2013-09-09,Journal Entry,70,None,77.31,77.31,313
2013-09-16,Cheque Expense,0,Transfer Money,11000.00,11000.00,314
2013-09-16,Journal Entry,69,None,23000.00,23000.00,315
2013-09-30,Journal Entry,72,None,24.95,24.95,316
2013-10-08,Cheque Expense,7,ANZ Bank,2.50,2.50,317
2013-10-09,Cheque Expense,0,Transfer Money,22500.00,22500.00,318
2013-10-09,Journal Entry,63,None,106.04,106.04,319
2013-10-20,Cheque Expense,0,Transfer Money,500.00,500.00,320
2013-10-20,Cheque Expense,8,Australian Taxation Office,345.00,345.00,321
2013-10-31,Journal Entry,66,None,25.84,25.84,322
2013-11-03,Journal Entry,76,None,1951.88,1951.88,323
2013-11-04,Cheque Expense,0,Transfer Money,2500.00,2500.00,324
2013-11-04,Journal Entry,65,None,31000.00,31000.00,325
2013-11-08,Cheque Expense,9,ANZ Bank,2.50,2.50,326
2013-11-08,Journal Entry,64,None,76.52,76.52,327
2013-11-10,Journal Entry,74,None,769.32,769.32,328
2013-11-14,Cheque Expense,0,Transfer Money,9000.00,9000.00,329
2013-11-14,Journal Entry,70,None,32000.00,32000.00,330
2013-11-30,Journal Entry,78,None,25.06,25.06,331
2013-12-08,Cheque Expense,10,ANZ Bank,2.50,2.50,332
2013-12-09,Journal Entry,71,None,159.70,159.70,333
2013-12-16,Cheque Expense,0,Transfer Money,160000.00,160000.00,334
2013-12-16,Journal Entry,72,None,20000.00,20000.00,335
2013-12-23,Cheque Expense,0,Transfer Money,60000.00,60000.00,336
2013-12-31,Journal Entry,68,None,81.71,81.71,337
2014-01-08,Cheque Expense,11,ANZ Bank,2.50,2.50,338
2014-01-08,Journal Entry,69,None,0.22,0.22,339
2014-01-09,Journal Entry,73,None,79.75,79.75,340
2014-01-29,Cheque Expense,0,Australian Taxation Office,75.10,75.10,341
2014-01-31,Journal Entry,67,None,72.86,72.86,342
2014-02-07,Journal Entry,84,None,50.52,50.52,343
2014-02-08,Cheque Expense,12,ANZ Bank,2.50,2.50,344
2014-02-16,Journal Entry,62,None,22700.00,22700.00,345
2014-02-28,Journal Entry,77,None,65.96,65.96,346
2014-03-07,Journal Entry,83,None,75.45,75.45,347
